Action,Feature,Plan,Niche,Permission,Module,Scope,Handler,Before,After,Confirmation,Audit,Analytics,Notes
TEAM_INVITE,Equipo,Pro+,All,TEAM_INVITE,TEAM,ORGANIZATION,openAddPersonModal,—,refreshTeamAndStats,true,true,true,Línea 1670
TEAM_EDIT,Equipo,Pro+,All,TEAM_EDIT,TEAM,ORGANIZATION,openEquipoDrawer,—,refreshTeamAndStats,false,true,true,Líneas 1853 2038
TEAM_REMOVE,Equipo,Pro+,All,TEAM_REMOVE,TEAM,ORGANIZATION,deleteEquipoMember,ensureNoAssignedClients,refreshTeamAndStats,true,true,true,Línea 1989
TEAM_CHANGE_ROLE,Equipo,Pro+,All,TEAM_EDIT,TEAM,ORGANIZATION,changeTeamMemberRole,—,refreshTeamAndStats,true,true,true,Inline en drawer
TEAM_TOGGLE_STATUS,Equipo,Pro+,All,TEAM_STATUS,TEAM,ORGANIZATION,toggleEquipoStatus,—,refreshTeamAndStats,false,true,true,Inline en tabla
TEAM_ASSIGN_CLIENTS,Equipo,Pro+,All,TEAM_ASSIGN,TEAM,ORGANIZATION,assignClientsToCoach,checkCoachCapacity,refreshTeamAndStats,true,true,false,Bulk action
CLIENT_CREATE,Clientes,All,All,CLIENT_CREATE,CLIENTS,ORGANIZATION,openCreateClienteModal,—,refreshClientListAndStats,false,true,true,Línea 2302
CLIENT_EDIT,Clientes,All,All,CLIENT_EDIT,CLIENTS,ORGANIZATION,openClienteDrawer,—,refreshClientListAndStats,false,true,true,Líneas 2615 2701
CLIENT_REMOVE,Clientes,All,All,CLIENT_REMOVE,CLIENTS,ORGANIZATION,deleteCliente,—,refreshClientListAndStats,true,true,true,Bulk action
CLIENT_ASSIGN_COACH,Clientes,Pro+,All,CLIENT_ASSIGN,CLIENTS,ORGANIZATION,assignClientToCoach,checkCoachCapacity,refreshClientAndTeamStats,true,true,true,Línea 2650
CLIENT_TOGGLE_STATUS,Clientes,All,All,CLIENT_STATUS,CLIENTS,ORGANIZATION,toggleClientStatus,—,refreshClientListAndStats,false,true,false,Inline en tabla
CLIENT_BULK_UPDATE,Clientes,Pro+,All,CLIENT_EDIT,CLIENTS,ORGANIZATION,bulkUpdateClientes,—,refreshClientListAndStats,true,true,false,Bulk update
COLLABORATOR_INVITE,Equipo,Enterprise,All,COLLAB_INVITE,COLLAB,ORGANIZATION,openAddCollaboratorModal,—,refreshTeamAndStats,true,true,true,Futuro
COLLABORATOR_REMOVE,Equipo,Enterprise,All,COLLAB_REMOVE,COLLAB,ORGANIZATION,deleteCollaborator,—,refreshTeamAndStats,true,true,true,Futuro
COLLABORATOR_PERMISSIONS,Equipo,Enterprise,All,COLLAB_PERMS,COLLAB,ORGANIZATION,editCollaboratorPermissions,—,refreshTeamAndStats,false,true,true,Futuro
SCHEDULE_CREATE,Agenda,Pro+,All,SCHEDULE_CREATE,SCHEDULE,ORGANIZATION,openScheduleModal,checkSlotAvailability,refreshSchedule,false,true,true,Futuro Agenda
SCHEDULE_EDIT,Agenda,Pro+,All|Self,SCHEDULE_EDIT,SCHEDULE,ORGANIZATION|SELF,openScheduleModal,—,refreshSchedule,false,true,true,Futuro Agenda
PROGRAM_CREATE,Programas,Pro+,Career/Fitness/Finance,PROGRAM_CREATE,PROGRAMS,ORGANIZATION,openProgramModal,—,refreshProgramsList,false,true,true,Futuro Programas
PROGRAM_EDIT,Programas,Pro+,Career/Fitness/Finance,PROGRAM_EDIT,PROGRAMS,ORGANIZATION,openProgramModal,—,refreshProgramsList,false,true,true,Futuro Programas
PROGRAM_ASSIGN,Programas,Pro+,Career/Fitness/Finance,PROGRAM_ASSIGN,PROGRAMS,ORGANIZATION,assignClientToProgram,checkProgramCapacity,refreshPrograms,true,true,true,Futuro Programas
BRAND_CHANGE_LOGO,Branding,Enterprise,All,BRAND_EDIT,BRANDING,ORGANIZATION,openBrandingModal,validateLogoSize,refreshBranding,false,true,true,Futuro Branding
BRAND_CHANGE_COLORS,Branding,Enterprise,All,BRAND_EDIT,BRANDING,ORGANIZATION,openBrandingModal,validateColors,refreshBranding,false,true,true,Futuro Branding
DOMAIN_CUSTOM,Branding,Enterprise,All,DOMAIN_ADD,BRANDING,ORGANIZATION,openDomainModal,validateDomain,refreshDomains,false,true,true,Futuro Dominios
BILLING_UPGRADE_PLAN,Billing,Free+,All,BILLING_UPGRADE,BILLING,ORGANIZATION,openBillingUpgradeModal,—,redirectToStripe,false,true,true,Futuro Billing
BILLING_CANCEL_PLAN,Billing,Pro+,All,BILLING_CANCEL,BILLING,ORGANIZATION,openCancelConfirmModal,checkActiveSubscription,processCancellation,true,true,true,Futuro Billing
AUTOMATION_CREATE,Automatizaciones,Pro+,All,AUTOMATION_CREATE,AUTOMATION,ORGANIZATION,openAutomationBuilder,—,saveAutomation,false,true,true,Futuro Automatizaciones
ANALYTICS_VIEW_REPORT,Analytics,Pro+,All,ANALYTICS_VIEW,ANALYTICS,ORGANIZATION,openAnalyticsReport,—,—,false,false,true,Futuro Analytics
COMMUNITY_POST_MESSAGE,Comunidad,Pro+,All,COMMUNITY_POST,COMMUNITY,ORGANIZATION,postCommunityMessage,—,refreshCommunityFeed,false,true,true,Futuro Comunidad
